code,name,faculty,facultyCode,url
BOK380,"Abdomen and mamma 380",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/BOK%20380
ACO171,"Academic competency in oral health 171",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ACO%20171
ELH131,"Academic English for Health Sciences (BClinical Medical Practice)  131",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/ELH%20131
ELH132,"Academic English for Health Sciences (BClinical Medical Practice) 132",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/ELH%20132
ELH121,"Academic English for Health Sciences (BNurs, BDietetics, BOH, BOT, BRad and BPhysio) 121",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/ELH%20121
ELH112,"Academic English for Health Sciences (MBChB and BChD) 112",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/ELH%20112
ELH111,"Academic English for Health Sciences 111",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/ELH%20111
ELH122,"Academic English for Health Sciences 122",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/ELH%20122
UPO110,"Academic orientation 110",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/UPO%20110
GNK486,"Ageing 486",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20486
TMZ470,"Anaesthesiology 470",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/TMZ%20470
GNK586,"Anaesthesiology 586",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20586
GNK682,"Anaesthesiology 682",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20682
CMP385,"Anaesthetics 385",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20385
ANP210,"Anatomical pathology 210",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANP%20210
ANP300,"Anatomical pathology 300",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANP%20300
ANP380,"Anatomical pathology 380",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANP%20380
GNK288,"Anatomy (Dissection) 288",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20288
ANA171,"Anatomy 171",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANA%20171
ANA185,"Anatomy 185",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANA%20185
ANA188,"Anatomy 188",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANA%20188
ANA289,"Anatomy 289",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANA%20289
ANA162,"Anatomy of the head and neck  162",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANA%20162
ANA152,"Anatomy of the limbs 152",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANA%20152
ANA161,"Anatomy of the torso 161",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/ANA%20161
AME380,"Applied medicine 380",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/AME%20380
AFR111,"Basic conversational Afrikaans 111",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/AFR%20111
BEC171,"Basic emergency care 171",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/BEC%20171
GNK286,"Basic emergency care 286",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/GNK%20286
VDS231,"Basic food preparation and food preparation techniques 231",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/VDS%20231
SMC213,"Biomechanics I 213",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/SMC%20213
BGN321,"Biomechanics II 321",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/BGN%20321
CMY151,"Chemistry 151",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/CMY%20151
CMP382,"Child health 382",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20382
DTT320,"Clinic and discussion class 320",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/DTT%20320
CMP181,"Clinical medical practice 181",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20181
CMP182,"Clinical medical practice 182",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20182
CMP281,"Clinical medical practice 281",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20281
CMP282,"Clinical medical practice 282",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/CMP%20282
FAR280,"Clinical pharmacology 280",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/FAR%20280
FAR380,"Clinical pharmacology 380",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/FAR%20380
